,x,y,u
0,1,1,0
0.001,0.999333333,1,0.0022
0.002,0.998667116,0.999999333,0.004399997
0.003,0.998001358,0.999998,0.006599991
0.004,0.99733607,0.999996002,0.008799979
0.005,0.996671262,0.999993338,0.010999958
0.006,0.996006944,0.999990009,0.013199928
0.007,0.995343127,0.999986016,0.015399886
0.008,0.994679821,0.999981359,0.017599829
0.009,0.994017036,0.999976039,0.019799757
0.01,0.993354781,0.999970056,0.021999666
0.011,0.992693068,0.999963411,0.024199556
0.012,0.992031907,0.999956105,0.026399423
0.013,0.991371308,0.999948137,0.028599267
0.014,0.99071128,0.999939509,0.030799084
0.015,0.990051834,0.999930221,0.032998874
0.016,0.989392981,0.999920273,0.035198633
0.017,0.988734729,0.999909667,0.037398361
0.018,0.988077091,0.999898403,0.039598054
0.019,0.987420074,0.999886481,0.041797711
0.02,0.986763691,0.999873903,0.043997331
0.021,0.98610795,0.999860668,0.04619691
0.022,0.985452862,0.999846778,0.048396447
0.023,0.984798437,0.999832233,0.05059594
0.024,0.984144685,0.999817034,0.052795388
0.025,0.983491616,0.999801181,0.054994787
0.026,0.98283924,0.999784676,0.057194136
0.027,0.982187567,0.999767519,0.059393433
0.028,0.981536608,0.999749711,0.061592676
0.029,0.980886371,0.999731252,0.063791863
0.03,0.980236868,0.999712144,0.065990991
0.031,0.979588107,0.999692386,0.06819006
0.032,0.9789401,0.999671981,0.070389067
0.033,0.978292856,0.999650928,0.07258801
0.034,0.977646386,0.999629228,0.074786886
0.035,0.977000698,0.999606883,0.076985695
0.036,0.976355803,0.999583893,0.079184433
0.037,0.975711711,0.999560258,0.0813831
0.038,0.975068432,0.999535981,0.083581692
0.039,0.974425975,0.999511061,0.085780209
0.04,0.973784351,0.999485499,0.087978647
0.041,0.97314357,0.999459297,0.090177005
0.042,0.972503641,0.999432455,0.092375281
0.043,0.971864574,0.999404974,0.094573474
0.044,0.97122638,0.999376856,0.09677158
0.045,0.970589067,0.9993481,0.098969598
0.046,0.969952647,0.999318708,0.101167526
0.047,0.969317127,0.999288681,0.103365362
0.048,0.96868252,0.99925802,0.105563103
0.049,0.968048833,0.999226726,0.107760749
0.05,0.967416078,0.999194799,0.109958297
0.051,0.966784263,0.999162242,0.112155745
0.052,0.966153399,0.999129054,0.11435309
0.053,0.965523496,0.999095237,0.116550332
0.054,0.964894562,0.999060791,0.118747467
0.055,0.964266608,0.999025719,0.120944495
0.056,0.963639644,0.99899002,0.123141412
0.057,0.963013679,0.998953697,0.125338217
0.058,0.962388723,0.998916749,0.127534909
0.059,0.961764786,0.998879179,0.129731484
0.06,0.961141877,0.998840986,0.131927941
0.061,0.960520006,0.998802173,0.134124278
0.062,0.959899183,0.99876274,0.136320493
0.063,0.959279417,0.998722689,0.138516584
0.064,0.958660718,0.998682021,0.140712549
0.065,0.958043095,0.998640736,0.142908386
0.066,0.957426559,0.998598836,0.145104093
0.067,0.956811118,0.998556322,0.147299668
0.068,0.956196783,0.998513196,0.149495109
0.069,0.955583563,0.998469458,0.151690414
0.07,0.954971467,0.998425109,0.15388558
0.071,0.954360506,0.998380151,0.156080607
0.072,0.953750688,0.998334586,0.158275492
0.073,0.953142023,0.998288414,0.160470233
0.074,0.952534521,0.998241636,0.162664827
0.075,0.951928191,0.998194254,0.164859274
0.076,0.951323043,0.998146269,0.167053571
0.077,0.950719085,0.998097682,0.169247715
0.078,0.950116329,0.998048495,0.171441706
0.079,0.949514783,0.997998709,0.173635541
0.08,0.948914456,0.997948324,0.175829217
0.081,0.948315358,0.997897344,0.178022734
0.082,0.947717498,0.997845768,0.180216089
0.083,0.947120887,0.997793598,0.182409279
0.084,0.946525532,0.997740835,0.184602304
0.085,0.945931444,0.997687482,0.186795161
0.086,0.945338632,0.997633538,0.188987848
0.087,0.944747106,0.997579006,0.191180363
