,x,y
0.1,1,1
0.2,0.933333333,1
0.3,0.871111111,0.993333333
0.4,0.813811358,0.98053037
0.5,0.761669882,0.962274009
0.6,0.71472319,0.939340121
0.7,0.672855647,0.912542925
0.8,0.635844735,0.882689599
0.9,0.60340058,0.850545992
1,0.575197959,0.816813388
1.1,0.55090057,0.782114988
1.2,0.530178263,0.746990249
1.3,0.512718415,0.711895023
1.4,0.49823275,0.677205689
1.5,0.486460793,0.643225726
1.6,0.477170967,0.610193563
1.7,0.470160144,0.578290872
1.8,0.465252244,0.547650717
1.9,0.462296297,0.518365218
2,0.461164275,0.490492528
2.1,0.461748875,0.464063038
2.2,0.463961389,0.439084793
2.3,0.467729696,0.415548153
2.4,0.472996448,0.393429759
2.5,0.479717427,0.372695871
2.6,0.487860095,0.353305154
2.7,0.497402303,0.335210987
2.8,0.508331161,0.31836336
2.9,0.520642036,0.302710426
3,0.534337669,0.28819976
3.1,0.549427382,0.274779383
3.2,0.565926365,0.262398577
3.3,0.58385502,0.251008546
3.4,0.603238341,0.240562952
3.5,0.624105325,0.231018336
3.6,0.646488376,0.22233448
3.7,0.670422714,0.214474697
3.8,0.695945734,0.207406099
3.9,0.723096331,0.201099828
4,0.751914146,0.1955313
4.1,0.782438723,0.190680445
4.2,0.814708536,0.186531977
4.3,0.848759879,0.183075698
4.4,0.884625563,0.180306859
4.5,0.922333393,0.178226579
4.6,0.961904376,0.176842354
4.7,1.00335061,0.176168662
4.8,1.046672793,0.176227689
4.9,1.091857282,0.177050193
5,1.138872629,0.178676528
5.1,1.187665496,0.181157856
5.2,1.238155871,0.184557563
5.3,1.290231459,0.18895291
5.4,1.343741157,0.194436918
5.5,1.398487516,0.201120515
5.6,1.45421808,0.209134917
5.7,1.510615581,0.218634203
5.8,1.567286989,0.229798006
5.9,1.623751532,0.242834148
6,1.679427991,0.257980965
6.1,1.733621797,0.275508914
6.2,1.785512816,0.295720848
6.3,1.834145222,0.3189501
6.4,1.878421463,0.34555517
6.5,1.917103127,0.375909478
6.6,1.948822371,0.410384253
6.7,1.972108394,0.449322429
6.8,1.985433949,0.49300144
6.9,1.98728664,0.541583476
7,1.976268202,0.595053288
7.1,1.951221429,0.653146449
7.2,1.911378412,0.715275139
7.3,1.856515445,0.780463771
7.4,1.787090735,0.847311698
7.5,1.704333733,0.914002817
7.6,1.610253871,0.978379118
7.7,1.507545627,1.038085083
7.8,1.399387252,1.090772637
7.9,1.289157959,1.134336706
